date,title,sentence,sentiment
2009-09-10,기자간담회자료(0909),한편 신용위험에 대한 우려와 시중자금의 단기화 현상은 다소 완화되는 움직임을 보였음,hawkish
2009-09-10,기자간담회자료(0909),앞으로 통화정책은 당분간 금융완화기조를 유지하면서 최근의 경기 개선 추세 및 금융시장 안정이 지속되도록 하는 데 주안점을 두고 운용해 나갈 것임,neutral
2009-10-09,기자간담회자료(0910),금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(2.00%)에서 유지하여 통화정책을 운용하기로 하였음,neutral
2009-10-09,기자간담회자료(0910),최근 국내 경기는 세계경제 상황 호전 등으로 수출이 회복세를 이어가고 소비가 전년수준을 계속 상회하는 등 개선 추세를 지속하고 있으나 향후 성장경로의 불확실성은 상존하고 있는 것으로 판단됨,neutral
2009-10-09,기자간담회자료(0910),소비자물가는 대체로 안정된 모습을 나타내었음,dovish
2009-10-09,기자간담회자료(0910),부동산가격은 오름세가 지속되었음,hawkish
2009-10-09,기자간담회자료(0910),"금융시장에서는 주가가 큰 폭 상승한 후 반락한 가운데 총부채상환비율 확대 적용, 대출금리 상승 등으로 주택담보대출의 증가세가 둔화되었음",hawkish
2009-10-09,기자간담회자료(0910),앞으로 통화정책은 당분간 금융완화기조를 유지하면서 최근의 경기 개선 추세 및 금융시장 안정이 지속되도록 하는 데 주안점을 두고 운용해 나갈 것임,neutral
2009-11-12,기자간담회자료(0911),금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(2.00%)에서 유지하여 통화정책을 운용하기로 하였음,neutral
2009-11-12,기자간담회자료(0911),최근 국내 경기는 세계경제 상황 호전 등으로 수출 및 내수와 생산 활동이 한층 더 개선되는 등 회복세를 나타내고 있으나 향후 성장경로의 불확실성은 상존하고 있는 것으로 판단됨,hawkish
2009-11-12,기자간담회자료(0911),소비자물가는 원/달러 환율 등이 하락요인으로 작용하면서 안정세를 이어가고 있음,dovish
2009-11-12,기자간담회자료(0911),부동산가격은 오름세가 주춤하는 모습을 보였음,dovish
2009-11-12,기자간담회자료(0911),"금융시장에서는 주가, 금리 등 가격변수의 변동성이 다소 확대된 가운데 총부채상환비율 확대 적용, 대출금리 상승 등으로 주택담보대출 증가세의 둔화 움직임이 지속되었음",neutral
2009-11-12,기자간담회자료(0911),앞으로 통화정책은 당분간 금융완화기조를 유지하면서 경기회복세가 지속되도록 하는 데 주안점을 두고 운용해 나갈 것임,dovish
2009-12-10,기자간담회자료(0912),금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(2.00%)에서 유지하여 통화정책을 운용하기로 하였음,neutral
2009-12-10,기자간담회자료(0912),최근 국내 경기는 세계경제 상황 호전 등으로 수출과 소비가 개선추세를 보이는 등 회복세를 이어가고 있으나 향후 성장경로의 불확실성은 상존하고 있는 것으로 판단됨,neutral
2009-12-10,기자간담회자료(0912),소비자물가는 상승세가 다소 확대되었으나 대체로 안정된 모습을 보이고 있음,neutral
2009-12-10,기자간담회자료(0912),부동산가격은 오름세가 둔화되었음,dovish
2009-12-10,기자간담회자료(0912),"금융시장에서는 환율, 주가 등 가격변수가 대체로 안정된 움직임을 보이다가 해외 불안요인의 영향으로 변동폭이 일시 확대되었으며 주택담보대출은 전월수준의 증가를 나타내었음",neutral
2009-12-10,기자간담회자료(0912),앞으로 통화정책은 당분간 금융완화기조를 유지하면서 경기회복세가 지속되도록 하는 데 주안점을 두고 운용해 나갈 것임,dovish
2010-01-08,기자간담회자료(1001),금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(2.00%)에서 유지하여 통화정책을 운용하기로 하였음,neutral
2010-01-08,기자간담회자료(1001),최근 국내 경기는 세계경제 상황 호전 등으로 수출과 내수가 꾸준히 증가하는 등 회복세를 지속하고 있으며 앞으로도 이와 같은 추세가 이어질 것으로 전망됨,hawkish
2010-01-08,기자간담회자료(1001),다만 주요 선진국의 본격적인 경기회복 지연 우려 등으로 향후 성장경로의 불확실성은 상존하고 있는 것으로 판단됨,dovish
2010-01-08,기자간담회자료(1001),소비자물가는 석유류가격을 중심으로 오름세가 확대되었으며 폭설의 영향이 더해져 상승률이 일시 더 높아질 것으로 예상됨,hawkish
2010-01-08,기자간담회자료(1001),부동산가격은 상승세가 둔화되고 있음,dovish
2010-01-08,기자간담회자료(1001),금융시장에서는 경기개선 흐름 등을 반영하여 장단기 시장금리 및 주가가 상당 폭 상승하였으며 주택담보대출은 꾸준한 증가세를 보였음,hawkish
2010-01-08,기자간담회자료(1001),앞으로 통화정책은 당분간 금융완화 기조를 유지하면서 경기회복세 지속에 도움이 되는 방향으로 운용해 나갈 것임,dovish
2010-02-11,기자간담회자료(1002),금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(2.00%)에서 유지하여 통화정책을 운용하기로 하였음,neutral
2010-02-11,기자간담회자료(1002),최근 국내 경기는 수출과 내수가 꾸준히 증가하고 생산활동이 활발한 모습을 보이는 등 회복세를 지속하고 있으며 앞으로도 이와 같은 추세가 이어질 것으로 전망됨,hawkish
2010-02-11,기자간담회자료(1002),다만 일부 유럽국가의 재정위기 우려 등으로 향후 성장경로의 불확실성은 상존하고 있는 것으로 판단됨,neutral
2010-02-11,기자간담회자료(1002),소비자물가는 오름세가 확대되었으나 최근의 국제원자재가격 움직임 등에 비추어 앞으로 안정된 모습을 보일 것으로 예상됨,dovish
2010-02-11,기자간담회자료(1002),부동산가격은 오름세가 제한되고 있음,neutral
2010-02-11,기자간담회자료(1002),금융시장에서는 해외 불안요인의 영향으로 환율과 주가 등 가격변수가 큰 폭의 변동을 보였으며 주택담보대출은 계절요인 등으로 증가폭이 축소되었음,neutral
2010-02-11,기자간담회자료(1002),앞으로 통화정책은 당분간 금융완화기조를 유지하면서 경기회복세 지속에 도움이 되는 방향으로 운용해 나갈 것임,dovish
2010-03-11,기자간담회자료(1003)(최종),금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(2.00%)에서 유지하여 통화정책을 운용하기로 하였음,neutral
2010-03-11,기자간담회자료(1003)(최종),최근 국내 경기는 수출이 확대되고 내수가 꾸준히 증가하는 등 회복세를 지속하고 있으며 앞으로도 이와 같은 추세가 이어질 것으로 전망됨,hawkish
2010-03-11,기자간담회자료(1003)(최종),다만 일부 국가의 과다채무 문제 등으로 향후 성장경로의 불확실성은 상존하고 있는 것으로 판단됨,neutral
2010-03-11,기자간담회자료(1003)(최종),소비자물가는 상승세가 다소 둔화되었으며 최근의 국제원자재가격 움직임 등에 비추어 당분간 안정된 모습을 보일 것으로 예상됨,dovish
2010-03-11,기자간담회자료(1003)(최종),부동산 시장에서는 가격이 완만하게 상승하였으나 거래는 부진하였음,neutral
2010-03-11,기자간담회자료(1003)(최종),금융시장에서는 일부 유럽국가의 재정위기 등 해외 불안요인이 완화되면서 주가가 반등하고 환율이 하락하였으며 주택담보대출은 계절요인 등으로 소폭 증가에 그쳤음,neutral
2010-03-11,기자간담회자료(1003)(최종),앞으로 통화정책은 당분간 금융완화기조를 유지하면서 경기회복세 지속에 도움이 되는 방향으로 운용해 나갈 것임,dovish
2010-04-09,기자간담회자료(1004)(최종),금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(2.00%)에서 유지하여 통화정책을 운용하기로 하였음,neutral
2010-04-09,기자간담회자료(1004)(최종),"세계경제는 신흥시장국 경제가 호조를 보이고 있는 가운데 미국, 일본 등 주요 선진국 경제의 개선 추세가 다소 강화되는 움직임을 나타내고 있음",hawkish
2010-04-09,기자간담회자료(1004)(최종),다만 일부 유럽국가의 재정문제 등 위험요인이 잠재하고 있음,dovish
2010-04-09,기자간담회자료(1004)(최종),국내 경기는 건설투자가 다소 부진한 모습이나 수출이 호조를 보이고 소비와 설비투자도 꾸준히 증가하는 등 회복세를 지속하고 있음,hawkish
2010-04-09,기자간담회자료(1004)(최종),소비자물가는 서비스가격을 중심으로 상승세가 둔화되었으며 당분간 안정된 모습을 보일 것으로 예상됨,dovish
2010-04-09,기자간담회자료(1004)(최종),부동산시장에서는 거래가 활발하지 않은 가운데 가격 오름세가 제한되고 있음,neutral
2010-04-09,기자간담회자료(1004)(최종),금융시장에서는 외국인 증권투자자금 유입이 확대되는 가운데 주가가 상승하고 장단기 시장금리가 하락하였음,hawkish
2010-04-09,기자간담회자료(1004)(최종),"주택담보대출은 대출금리 하락, 입주·분양물량 증가 등의 영향으로 증가규모가 소폭 확대되었음",hawkish
2010-04-09,기자간담회자료(1004)(최종),앞으로 통화정책은 당분간 금융완화기조를 유지하면서 경기회복세 지속에 도움이 되는 방향으로 운용하되 국내외 금융경제상황을 종합적으로 고려해 나갈 것임,dovish
2010-05-12,기자간담회자료(1005)(최종),금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(2.00%)에서 유지하여 통화정책을 운용하기로 하였다,neutral
2010-05-12,기자간담회자료(1005)(최종),"세계경제는 신흥시장국 경제가 호조를 지속하고 있는 가운데 미국, 일본 등 주요 선진국 경제도 개선추세를 보이고 있다",hawkish
2010-05-12,기자간담회자료(1005)(최종),다만 남유럽국가들의 재정문제가 근본적으로 해결되지 않음에 따라 국제금융시장이 수시로 불안한 움직임을 나타낼 위험이 잠재하고 있다,dovish
2010-05-12,기자간담회자료(1005)(최종),국내 경기는 회복세가 뚜렷해지고 있는 모습이다,hawkish
2010-05-12,기자간담회자료(1005)(최종),건설투자가 여전히 부진하나 수출이 호조를 지속하고 설비투자와 소비도 꾸준히 늘어나고 있으며 고용사정도 민간부문을 중심으로 개선되고 있다,hawkish
2010-05-12,기자간담회자료(1005)(최종),소비자물가는 이상기후에 따른 농축수산물가격 상승 등으로 오름세가 일시 확대되었다,hawkish
2010-05-12,기자간담회자료(1005)(최종),앞으로 물가는 당분간 안정된 모습을 보일 것이나 경기회복으로 수요압력이 점차 증대될 것으로 예상된다,hawkish
2010-05-12,기자간담회자료(1005)(최종),부동산시장에서는 거래가 활발하지 않은 가운데 수도권을 중심으로 주택매매가격이 약세를 나타내었다,dovish
2010-05-12,기자간담회자료(1005)(최종),금융시장에서는 외국인 증권투자자금 유입 확대와 함께 장단기 시장금리가 하락하였으나 남유럽국가 재정문제 등으로 가격변수의 변동성이 크게 확대되었다,neutral
2010-05-12,기자간담회자료(1005)(최종),주택담보대출은 대출금리 하락에도 불구하고 주택거래 부진 등의 영향으로 증가규모에 변화를 보이지 않고 있다,neutral
2010-05-12,기자간담회자료(1005)(최종),앞으로 통화정책은 금융완화기조를 유지하면서 경기회복세 지속에 도움이 되는 방향으로 운용하되 국내외 금융경제상황을 종합적으로 고려하여 수행해 나갈 것이다,dovish
2010-06-10,기자간담회자료(1006)(최종),금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(2.00%)에서 유지하여 통화정책을 운용하기로 하였다,neutral
2010-06-10,기자간담회자료(1006)(최종),"세계경제는 신흥시장국 경제가 호조를 지속하고 있는 가운데 미국, 일본 등 주요 선진국 경제도 개선 움직임을 이어가고 있다",hawkish
2010-06-10,기자간담회자료(1006)(최종),그러나 일부 유럽국가의 재정문제로 인해 국제금융시장이 수시로 불안한 모습을 나타내고 그 영향이 세계경제의 회복세에 미칠 위험이 잠재하고 있다,dovish
2010-06-10,기자간담회자료(1006)(최종),국내경기는 상승세를 지속하고 있는 것으로 보인다,hawkish
2010-06-10,기자간담회자료(1006)(최종),"소비, 투자 등 내수의 증가세가 일시 주춤한 모습이나 수출이 호조를 지속하고 고용사정도 민간부문을 중심으로 한층 개선되고 있다",hawkish
2010-06-10,기자간담회자료(1006)(최종),소비자물가는 석유류가격을 중심으로 오름세가 소폭 확대되었으며 앞으로 경기상승세가 지속되면서 수요압력이 점차 증대될 것으로 예상된다,hawkish
2010-06-10,기자간담회자료(1006)(최종),부동산시장에서는 수도권을 중심으로 주택매매가격이 약세를 보이고 있다,dovish
2010-06-10,기자간담회자료(1006)(최종),"금융시장에서는 일부 유럽국가 재정문제, 한반도의 지정학적 위험 증대 등으로 주가와 환율 등 가격변수가 큰 폭으로 변동하였다",neutral
2010-06-10,기자간담회자료(1006)(최종),주택담보대출은 주택거래가 활발하지 않았음에도 불구하고 대출금리 하락 등의 영향으로 증가규모가 소폭 확대되었다,dovish
2010-06-10,기자간담회자료(1006)(최종),앞으로 통화정책은 금융완화기조를 유지하면서 우리 경제가 물가안정의 기조 위에서 견조한 성장을 지속할 수 있도록 하는 방향으로 운용하되 국내외 금융경제상황을 종합적으로 고려하여 수행해 나갈 것이다,neutral
2010-07-09,기자간담회자료(1007)(최종),금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 2.00%에서 2.25%로 상향 조정하여 통화정책을 운용하기로 하였다,hawkish
2010-07-09,기자간담회자료(1007)(최종),세계경제는 신흥시장국 경제의 호조가 지속되는 가운데 미국 등 주요 선진국 경제도 대체로 회복세를 이어가고 있다,hawkish
2010-07-09,기자간담회자료(1007)(최종),"다만 일부 유럽국가의 재정문제로 인한 국제금융시장 불안, 주요국 경기의 변동성 확대 등이 수시로 재연될 위험성을 배제할 수 없다",dovish
2010-07-09,기자간담회자료(1007)(최종),국내경기는 상승세를 지속하고 있다,hawkish
2010-07-09,기자간담회자료(1007)(최종),"수출이 높은 신장세를 보이고 소비, 투자 등 내수가 꾸준히 증가하고 있으며 고용사정도 민간부문을 중심으로 개선추세를 나타내고 있다",hawkish
2010-07-09,기자간담회자료(1007)(최종),소비자물가는 상승률이 2%대 중후반에 머물고 있으나 앞으로 경기상승세 지속에 따른 수요압력 증대 등으로 상승압력이 계속 커질 것으로 예상된다,hawkish
2010-07-09,기자간담회자료(1007)(최종),부동산시장에서는 주택매매가격이 수도권은 하락하고 지방은 상승하는 추세가 지속되고 있다,neutral
2010-07-09,기자간담회자료(1007)(최종),금융시장에서는 장기시장금리가 국내경기 상황 등을 반영하여 상승하였으며 주가와 환율은 해외 불안요인의 영향 등으로 큰 폭의 변동을 나타내었다,neutral
2010-07-09,기자간담회자료(1007)(최종),주택담보대출은 주택거래가 활발하지 않았음에도 불구하고 낮은 대출금리 등의 영향으로 증가규모가 확대되었다,dovish
2010-07-09,기자간담회자료(1007)(최종),앞으로 통화정책은 금융완화기조를 유지하면서 우리 경제가 물가안정의 기조 위에서 견조한 성장을 지속할 수 있도록 하는 방향으로 운용하되 국내외 금융경제상황을 종합적으로 고려하여 수행해 나갈 것이다,neutral
2010-08-12,기자간담회자료(1008)(최종),금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(2.25%)에서 유지하여 통화정책을 운용하기로 하였다,neutral
2010-08-12,기자간담회자료(1008)(최종),세계경제는 신흥시장국 경제가 호조를 지속하고 있는 가운데 주요 선진국 경제도 대체로 회복세를 이어가고 있다,hawkish
2010-08-12,기자간담회자료(1008)(최종),일부 유럽국가의 재정문제로 인한 국제금융시장 불안은 완화되었으나 주요국 경기의 변동성 확대 등이 위험요인으로 작용할 가능성을 배제할 수 없다,neutral
2010-08-12,기자간담회자료(1008)(최종),국내경기는 상승세를 지속하고 있다,hawkish
2010-08-12,기자간담회자료(1008)(최종),"수출이 계속 호조를 보이고 소비, 투자 등 내수가 꾸준히 증가하고 있으며 고용사정도 민간부문을 중심으로 개선추세를 나타내고 있다",hawkish
2010-08-12,기자간담회자료(1008)(최종),소비자물가는 상승률이 2%대 중후반에 머물고 있으나 앞으로 경기상승세 지속에 따른 수요압력 증대 등으로 상승압력이 계속 커질 것으로 예상된다,hawkish
2010-08-12,기자간담회자료(1008)(최종),부동산시장에서는 주택매매가격이 수도권은 하락하고 지방은 상승하는 추세가 지속되고 있다,neutral
2010-08-12,기자간담회자료(1008)(최종),"금융시장에서는 기준금리 인상의 영향 등으로 단기시장금리와 은행 여수신금리가 상승하였으며, 한편 외국인 증권투자자금이 큰 폭으로 유입되는 가운데 주가가 상승하였다",hawkish
2010-08-12,기자간담회자료(1008)(최종),주택담보대출은 주택거래가 활발하지 않았음에도 불구하고 낮은 대출금리 등의 영향으로 꾸준히 증가하였다,hawkish
2010-08-12,기자간담회자료(1008)(최종),앞으로 통화정책은 우리 경제가 금융완화기조하에서 견조한 성장을 지속하는 가운데 물가안정이 유지될 수 있도록 운용하되 국내외 금융경제상황을 종합적으로 고려하여 수행해 나갈 것이다,neutral
2010-09-09,기자간담회자료(1009)(최종),금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(2.25%)에서 유지하여 통화정책을 운용하기로 하였다,neutral
2010-09-09,기자간담회자료(1009)(최종),세계경제는 신흥시장국 경제가 호조를 지속하고 있으며 선진국 경제도 미국 등의 성장세 둔화 움직임이 나타났으나 대체로 회복세를 이어가고 있다,neutral
2010-09-09,기자간담회자료(1009)(최종),앞으로 주요국 경기의 변동성 확대 등이 세계경제의 위험요인으로 작용할 가능성이 있다,dovish
2010-09-09,기자간담회자료(1009)(최종),국내경기는 상승세를 지속하고 있다,hawkish
2010-09-09,기자간담회자료(1009)(최종),수출이 계속 호조를 보이고 소비가 꾸준히 증가하고 있으며 고용사정도 민간부문을 중심으로 개선추세를 나타내고 있다,hawkish
2010-09-09,기자간담회자료(1009)(최종),소비자물가는 상승률이 2%대 중후반 수준에 있으나 앞으로 경기상승세 지속에 따른 수요압력 증대 등으로 상승압력이 계속 커질 것으로 예상된다,hawkish
2010-09-09,기자간담회자료(1009)(최종),부동산시장에서는 주택매매가격이 수도권은 하락하고 지방은 상승하는 현상이 지속되었다,neutral
2010-09-09,기자간담회자료(1009)(최종),금융시장에서는 단기시장금리와 은행 여수신금리가 상승세를 이어갔으나 외국인 채권투자자금 유입 등의 영향으로 장기시장금리는 하락하였다,neutral
2010-09-09,기자간담회자료(1009)(최종),주택담보대출은 주택거래가 활발하지 않은 가운데 증가폭이 다소 줄어들었다,dovish
2010-09-09,기자간담회자료(1009)(최종),앞으로 통화정책은 우리 경제가 금융완화기조하에서 견조한 성장을 지속하는 가운데 물가안정이 유지될 수 있도록 운용하되 국내외 금융경제상황을 종합적으로 고려하여 수행해 나갈 것이다,neutral
2010-10-14,기자간담회자료(1010)(최종),금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(2.25%)에서 유지하여 통화정책을 운용하기로 하였다,neutral
2010-10-14,기자간담회자료(1010)(최종),세계경제는 신흥시장국 경제가 호조를 지속하고 있으며 선진국 경제는 미국 등의 경기회복 속도가 다소 둔화되고 있으나 대체로 완만한 회복세를 이어가고 있다,neutral
2010-10-14,기자간담회자료(1010)(최종),앞으로 주요국 경기 및 환율의 변동성 확대 등이 세계경제의 위험요인으로 작용할 가능성이 있다,dovish
2010-10-14,기자간담회자료(1010)(최종),국내경기는 소비가 주춤하였으나 수출이 호조를 지속하고 설비투자가 증가하는 등 상승기조를 유지하고 있다,hawkish
2010-10-14,기자간담회자료(1010)(최종),고용사정도 민간부문을 중심으로 개선추세를 나타내고 있다,hawkish
2010-10-14,기자간담회자료(1010)(최종),소비자물가는 농산물가격 급등 등으로 상승률이 높아졌으며 앞으로 경기상승이 이어지면서 수요측면의 상승압력이 지속될 것으로 예상된다,hawkish
2010-10-14,기자간담회자료(1010)(최종),부동산시장에서는 주택매매가격이 수도권은 하락하고 지방은 상승하는 현상이 지속되었다,neutral
2010-10-14,기자간담회자료(1010)(최종),금융시장에서는 외국인증권투자자금 유입 확대 등의 영향으로 주가가 상승하고 환율과 시장금리가 하락하였다,dovish
2010-10-14,기자간담회자료(1010)(최종),주택담보대출은 주택거래가 활발하지 않은 가운데서도 입주물량 증가 등으로 증가폭이 확대되었다,hawkish
2010-10-14,기자간담회자료(1010)(최종),앞으로 통화정책은 우리 경제가 금융완화기조하에서 견조한 성장을 지속하는 가운데 물가안정이 유지될 수 있도록 운용하되 국내외 금융경제상황을 종합적으로 고려하여 수행해 나갈 것이다,neutral
2010-11-16,기자간담회자료(1011)(최종),금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 2.25%에서 2.50%로 상향 조정하여 통화정책을 운용하기로 하였다,hawkish
2010-11-16,기자간담회자료(1011)(최종),세계경제는 신흥시장국 경제가 호조를 지속하고 있으며 선진국 경제도 대체로 완만한 회복세를 이어가고 있다,hawkish
2010-11-16,기자간담회자료(1011)(최종),앞으로 주요국 경기 및 환율의 변동성 확대 등이 세계경제의 위험요인으로 작용할 가능성을 배제할 수 없다,neutral
2010-11-16,기자간담회자료(1011)(최종),국내경기는 설비투자가 주춤하였으나 수출이 호조를 지속하고 소비가 증가하는 등 상승기조를 유지하고 있다,hawkish
2010-11-16,기자간담회자료(1011)(최종),고용사정도 민간부문을 중심으로 개선추세를 나타내고 있다,hawkish
2010-11-16,기자간담회자료(1011)(최종),소비자물가는 농산물가격을 중심으로 상승률이 더욱 높아졌다,hawkish
2010-11-16,기자간담회자료(1011)(최종),앞으로 채소류가격의 안정 등으로 물가상승률이 다소 낮아질 것이나 경기상승이 이어지고 국제원자재 가격이 오르면서 상승압력이 지속될 것으로 예상된다,hawkish
2010-11-16,기자간담회자료(1011)(최종),부동산시장에서는 지방의 주택매매가격 상승세가 지속되는 가운데 수도권의 하락폭 축소 움직임이 나타났다,hawkish
2010-11-16,기자간담회자료(1011)(최종),금융시장에서는 외국인증권투자자금 유입이 지속되면서 주가가 상승하고 환율이 하락하였으며 장기시장금리는 큰 폭 하락 후 높은 물가상승률의 영향 등으로 반등하였다,dovish
2010-11-16,기자간담회자료(1011)(최종),주택담보대출은 주택거래가 활발하지 않은 가운데서도 비교적 큰 폭의 증가를 지속하였다,hawkish
2010-11-16,기자간담회자료(1011)(최종),앞으로 통화정책은 우리 경제가 견조한 성장을 지속하는 가운데 물가안정이 유지될 수 있도록 운용하되 국내외 금융경제상황을 종합적으로 고려하여 수행해 나갈 것이다,neutral
2010-12-09,기자간담회자료(1012)(최종),금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(2.50%)에서 유지하여 통화정책을 운용하기로 하였다,neutral
